university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
udec_cl,802213717615796314,julianadams7295,6222,447,47095,Sun Aug 04 00:00:00 +0000 2024
noestudie_cl,2786752087307814766,leorivera958,4120,1044,76559,Mon Feb 21 00:00:00 +0000 2011
chile_cl,9070749789572346219,jacobbrooks8211,9677,3297,92135,Sun Feb 25 00:00:00 +0000 2018
chile_cl,347525997474856147,brookslong5269,2691,1833,92275,Thu Jul 07 00:00:00 +0000 2011
noestudie_cl,7389029329382055489,lucahoward7223,4216,3539,81162,Sun Dec 03 00:00:00 +0000 2017
fake_cl,7266373805222008364,parkeralvarez8063,5995,1309,41830,Sat Aug 30 00:00:00 +0000 2014
noestudie_cl,1116784399980221859,ethanperez5653,5505,619,43486,Fri Feb 15 00:00:00 +0000 2019
fake_cl,8081750875238519822,carsonsanderson6561,2568,1858,51269,Mon Jun 09 00:00:00 +0000 2003
fake_cl,6111014818884820086,ianmyers1604,3117,4027,73346,Fri Dec 23 00:00:00 +0000 2005
fake_cl,3340093048174296187,nicholasscott3208,3003,3353,9121,Fri Nov 04 00:00:00 +0000 2011
harvard_cl,6539484060601038222,josejames517,398,3241,10233,Fri Jul 28 00:00:00 +0000 2000
udec_cl,6858142163315915314,ezramorales5686,8959,1042,20021,Wed Jul 20 00:00:00 +0000 2022
chile_cl,5274611717925133751,cartermendoza3361,989,512,29759,Fri Aug 06 00:00:00 +0000 2004
chile_cl,2284495324817466121,elijahjames8702,6154,1793,40453,Sat Feb 12 00:00:00 +0000 2005
noestudie_cl,3251540270034943936,jeremiahgreen2624,6494,3339,48998,Wed Aug 10 00:00:00 +0000 2022
udec_cl,9057772468953283945,kaydenmendoza6950,4773,534,70676,Thu Dec 18 00:00:00 +0000 2008
chile_cl,4914137788618523110,everettfoster2589,3098,187,43759,Thu Jan 20 00:00:00 +0000 2022
chile_cl,712107454592908509,josephkelly8104,9531,4653,68661,Sun Nov 14 00:00:00 +0000 2021
chile_cl,2805346284173792680,isaacgomez7227,2532,3269,56706,Tue Dec 04 00:00:00 +0000 2001
chile_cl,5773034525423016964,benjaminjames3105,9538,234,87124,Fri Jan 21 00:00:00 +0000 2011
udec_cl,8427537791643266251,adamruiz1166,3321,1596,58197,Mon Apr 08 00:00:00 +0000 2019
fake_cl,3891679771224370504,elijahsmith2159,7211,325,61628,Fri Jan 27 00:00:00 +0000 2023
noestudie_cl,6700709609066991792,josekelly5961,5373,2604,94807,Thu May 02 00:00:00 +0000 2019
chile_cl,3782835110450759466,isaacclark873,1711,4576,55032,Thu May 20 00:00:00 +0000 2010
fake_cl,4449904003650593943,williambrown2552,1948,1785,77291,Fri Dec 08 00:00:00 +0000 2017
harvard_cl,5986078366185774435,julianrogers6931,2194,2476,80301,Wed Apr 13 00:00:00 +0000 2016
chile_cl,443199835842607145,jamesnguyen3668,6389,1634,1528,Thu Nov 24 00:00:00 +0000 2022
noestudie_cl,2255370472582132603,ezraanderson6278,9325,4353,69240,Fri Mar 04 00:00:00 +0000 2016
harvard_cl,2028835526691329882,leomartin6386,3680,2672,16898,Thu Dec 26 00:00:00 +0000 2013
udec_cl,5038685294763446523,sebastiansanderson7757,8992,4700,42423,Mon Jun 04 00:00:00 +0000 2012
chile_cl,4223292119675167943,jamesadams6287,7376,590,75870,Tue Aug 23 00:00:00 +0000 2005
udec_cl,4654549048273896357,ryanclark6495,9434,4156,33798,Thu Jan 11 00:00:00 +0000 2007
chile_cl,6510311315893652488,santiagogomez5597,8208,851,68709,Sat Nov 25 00:00:00 +0000 2023
udec_cl,1704340262365210319,jamesmorgan6004,7176,957,28188,Sun Mar 11 00:00:00 +0000 2007
chile_cl,6939713921735704575,brooksrivera2404,2454,3515,39961,Sun May 26 00:00:00 +0000 2002
harvard_cl,8127967282439088755,carsondiaz6963,4932,4130,80548,Mon Apr 26 00:00:00 +0000 2010
harvard_cl,5817244616991802226,wyattnguyen5772,5890,831,42967,Sat Oct 09 00:00:00 +0000 2004
chile_cl,1179764943556501223,jamesnguyen5072,3164,4122,76631,Fri May 16 00:00:00 +0000 2003
chile_cl,6873674957690279417,sebastianthomas9463,9834,2179,85758,Wed Nov 21 00:00:00 +0000 2007
udec_cl,7070658024544632264,jaxsonmartin4341,8136,1899,31104,Mon Dec 16 00:00:00 +0000 2013
udec_cl,8427062171888778400,mileswright279,8687,242,83030,Mon Aug 22 00:00:00 +0000 2016
noestudie_cl,5049239794327952438,henrymendoza5147,1382,3235,53612,Sun Mar 20 00:00:00 +0000 2011
udec_cl,1968010758230577482,ianwatson6893,8919,1452,860,Sat Jun 20 00:00:00 +0000 2020
noestudie_cl,4106562762076028503,liamkim3278,2268,2881,48213,Sat Jan 23 00:00:00 +0000 2016
chile_cl,2679947123726778254,jacobthomas1953,5371,3305,87919,Mon Oct 28 00:00:00 +0000 2024
fake_cl,1058675460575511421,williamdavis1715,1395,2214,50451,Sun Sep 15 00:00:00 +0000 2013
udec_cl,6259373712905860137,dylanhill6732,8706,469,6790,Wed Mar 11 00:00:00 +0000 2015
chile_cl,1969708061695765976,mileswalker8875,6449,1798,57656,Sat Jan 09 00:00:00 +0000 2010
chile_cl,2494451555600042430,joshuaramos1835,3831,688,68498,Sun Dec 23 00:00:00 +0000 2001
harvard_cl,2171420484029772388,aaronflores9838,1434,4631,33726,Mon Apr 09 00:00:00 +0000 2001
noestudie_cl,5648215578364377859,charlescastillo6466,7203,232,61078,Sat Jan 06 00:00:00 +0000 2007
udec_cl,2662254652772326725,carsongomez3432,8315,2703,65247,Sat May 07 00:00:00 +0000 2022
chile_cl,2540665830199674486,ethandiaz1179,7995,2492,80354,Sat Jul 17 00:00:00 +0000 2010
harvard_cl,4523516413465536511,carsonclark3615,5471,4788,48944,Sun Apr 22 00:00:00 +0000 2018
udec_cl,6541098473816689674,nicholasmorgan9288,5864,623,48513,Thu May 14 00:00:00 +0000 2009
chile_cl,1153436111480606646,liamlewis6497,3990,158,70736,Sun Dec 28 00:00:00 +0000 2008
udec_cl,3798479720154373544,josiahross4431,5408,2363,47624,Thu Dec 01 00:00:00 +0000 2016
noestudie_cl,3087790656653492293,cameronallen4724,4679,4236,54521,Thu Aug 18 00:00:00 +0000 2022
udec_cl,4223293332114647649,coopertorres3993,9887,3671,550,Thu Sep 28 00:00:00 +0000 2006
fake_cl,6130778142751595391,robertcollins1650,4136,3010,22148,Sat Aug 21 00:00:00 +0000 2021
noestudie_cl,6660233301924079965,charlesmiller592,4150,2735,19726,Sun Dec 08 00:00:00 +0000 2013
noestudie_cl,1148561467427981071,masonbrooks5832,4447,3636,66830,Tue May 22 00:00:00 +0000 2001
udec_cl,2229043596360344607,christiancastillo4749,6154,113,11909,Sun Jul 06 00:00:00 +0000 2008
harvard_cl,2104909819037261400,thomasjames3341,6368,1956,84980,Mon Feb 26 00:00:00 +0000 2001
noestudie_cl,1020594697393437407,levipatel8307,9203,3743,59777,Tue Aug 13 00:00:00 +0000 2002
harvard_cl,4269296103680709349,nicholasortiz6224,2042,2021,84083,Sat Aug 19 00:00:00 +0000 2017
chile_cl,3264087544333345381,gabrielpatel6399,9667,1119,26492,Wed Aug 03 00:00:00 +0000 2016
fake_cl,3281371268792543464,kaicooper1387,5522,20,58949,Wed Dec 31 00:00:00 +0000 2008
