university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
pucv_cl,7.58561835897479e+17,SantillanaLAB,2293,1040,2528,Thu Jul 28 07:16:49 +0000 2016
pucv_cl,414942137.0,rodcontrabajo,20,154,53,Thu Nov 17 17:57:02 +0000 2011
pucv_cl,68213121.0,ntejos,314,456,183,Sun Aug 23 19:14:41 +0000 2009
pucv_cl,118738304.0,edu_hhs,13611,2650,1313,Mon Mar 01 16:15:26 +0000 2010
pucv_cl,1.2607289982268e+18,DatosLab_UPLA,0,173,4,Thu May 14 01:02:38 +0000 2020
pucv_cl,166707856.0,Roxanita_PR,353,175,33,Wed Jul 14 20:29:46 +0000 2010
pucv_cl,1.22476734432671e+18,oped_uc,26,411,77,Tue Feb 04 18:51:20 +0000 2020
pucv_cl,280576945.0,ComprensLectora,41360,19554,20430,Mon Apr 11 16:14:47 +0000 2011
pucv_cl,1.2656456409708e+18,Richard_M4T,0,48,2,Wed May 27 14:07:01 +0000 2020
pucv_cl,76536637.0,agmproject,5927,3922,909,Wed Sep 23 02:42:15 +0000 2009
pucv_cl,995799091.0,FACEAUV,225,521,204,Fri Dec 07 20:18:20 +0000 2012
pucv_cl,1.23773877867398e+18,BerriosCavieres,66,362,27,Wed Mar 11 13:55:06 +0000 2020
pucv_cl,36213980.0,freeoftheories,3472,4961,586,Tue Apr 28 23:39:23 +0000 2009
pucv_cl,1.07187269984732e+18,diecosa,437,984,1082,Sun Dec 09 21:02:20 +0000 2018
pucv_cl,1.15050948738989e+18,eriiiknicolas,9,103,5,Sun Jul 14 20:56:52 +0000 2019
pucv_cl,9.07045991022555e+17,ARojasCuadra,210,254,36,Mon Sep 11 00:59:51 +0000 2017
pucv_cl,1.09332328187107e+18,macob01,20,118,3,Thu Feb 07 01:39:18 +0000 2019
pucv_cl,1368505898.0,miguelala100,271,1946,110,Sun Apr 21 02:44:38 +0000 2013
pucv_cl,7.08096867490464e+17,NicoleAriasA,755,499,104,Fri Mar 11 01:07:03 +0000 2016
pucv_cl,116061193.0,OPINOLOGOCHILE,54,687,34,Sun Feb 21 01:12:16 +0000 2010
pucv_cl,88765971.0,kimiojvm,5,117,35,Mon Nov 09 21:28:36 +0000 2009
pucv_cl,157507349.0,AlisonWD,1,42,21,Sun Jun 20 01:33:09 +0000 2010
pucv_cl,1167606872.0,Carla_H_S,5831,1576,1316,Mon Feb 11 02:30:37 +0000 2013
pucv_cl,83974491.0,rodrigolobosm,4692,852,264,Wed Oct 21 01:39:57 +0000 2009
pucv_cl,36245735.0,marcelakaplan,13222,1392,3948,Wed Apr 29 01:36:53 +0000 2009
pucv_cl,7.94613426140181e+17,patocerdaciudad,7653,511,716,Fri Nov 04 18:52:58 +0000 2016
pucv_cl,2251355638.0,jodogamoz,3,275,20,Mon Dec 30 04:47:10 +0000 2013
pucv_cl,1.21559436036615e+18,RecyclesEu,26,56,23,Fri Jan 10 11:21:14 +0000 2020
pucv_cl,317373319.0,CarlaFardella,33,261,138,Tue Jun 14 20:55:27 +0000 2011
pucv_cl,1905137713.0,marturetg,165844,3850,2364,Wed Sep 25 18:57:44 +0000 2013
pucv_cl,9.74782559862305e+17,HugoJoaqunMoli1,133,216,13,Fri Mar 16 23:00:47 +0000 2018
pucv_cl,967961486.0,ME_UACh,133,111,167,Sat Nov 24 12:44:51 +0000 2012
pucv_cl,8.74311558414967e+17,JuanFco_sp,46,41,29,Mon Jun 12 17:04:54 +0000 2017
pucv_cl,1.26285417028724e+18,MarcelTheza,33,160,49,Tue May 19 21:16:01 +0000 2020
pucv_cl,1.19757750138984e+18,LuisPug04588763,0,9,0,Thu Nov 21 18:08:28 +0000 2019
pucv_cl,166998964.0,RodrigoV_34,44,961,17,Thu Jul 15 14:21:24 +0000 2010
pucv_cl,154556020.0,d_acm17,49,487,18,Fri Jun 11 15:18:33 +0000 2010
pucv_cl,1472025673.0,poyosic,10,92,8,Fri May 31 12:10:17 +0000 2013
pucv_cl,349254121.0,andreita_te,1067,970,433,Fri Aug 05 20:23:02 +0000 2011
pucv_cl,2154415738.0,ruthcontanza,30,291,49,Sat Oct 26 14:53:22 +0000 2013
pucv_cl,520857296.0,maxixmilenio,324,255,20,Sun Mar 11 00:21:58 +0000 2012
pucv_cl,100606328.0,NaatyCarcamo,51849,417,877,Wed Dec 30 22:01:19 +0000 2009
pucv_cl,1.09946242313897e+18,JKinesiologia,46,94,7,Sun Feb 24 00:14:03 +0000 2019
pucv_cl,500383066.0,Gabitu_,1499,219,62,Thu Feb 23 02:45:44 +0000 2012
pucv_cl,96969892.0,PipeDuarteh,1124,523,96,Tue Dec 15 12:16:48 +0000 2009
pucv_cl,294272939.0,ffclauu,3077,675,88,Fri May 06 20:58:44 +0000 2011
pucv_cl,552622475.0,FIPLV,34639,3003,2686,Fri Apr 13 11:34:02 +0000 2012
pucv_cl,134209327.0,gabrielbena,899,597,252,Sat Apr 17 19:16:44 +0000 2010
pucv_cl,135563934.0,karingonzalezp,258,479,55,Wed Apr 21 17:13:26 +0000 2010
pucv_cl,50168432.0,eoman,933,1329,574,Wed Jun 24 01:23:55 +0000 2009
pucv_cl,1.25859147685173e+18,SiilverfoxK,14,15,2,Fri May 08 02:56:13 +0000 2020
pucv_cl,1.25134786245104e+18,superMcuadrai,4,124,43,Sat Apr 18 03:12:52 +0000 2020
pucv_cl,554647755.0,info_navarro,13569,1192,3571,Sun Apr 15 19:00:27 +0000 2012
pucv_cl,1322366659.0,magna_espinoza,20,105,22,Tue Apr 02 12:12:31 +0000 2013
pucv_cl,1.18971518710604e+18,m_henriquezs,0,91,4,Thu Oct 31 01:26:27 +0000 2019
pucv_cl,1.25012413052509e+18,MaribelViera4,7,123,3,Tue Apr 14 18:10:09 +0000 2020
pucv_cl,144277263.0,Jose_Valdivia_S,6,49,5,Sat May 15 20:42:09 +0000 2010
pucv_cl,1.2602346516434e+18,sbsan78,2,72,0,Tue May 12 15:45:49 +0000 2020
pucv_cl,1.25927847938582e+18,DoctoradoDe,82,291,83,Sun May 10 00:26:19 +0000 2020
pucv_cl,18357876.0,rcorbal,12774,3235,1877,Wed Dec 24 14:28:25 +0000 2008
pucv_cl,1.08775044950206e+18,NotarConser_cl,655,633,599,Tue Jan 22 16:34:51 +0000 2019
pucv_cl,3122619653.0,mauricihoramir1,49,424,20,Sat Mar 28 00:22:59 +0000 2015
pucv_cl,280298298.0,SaltamontesPao,111,181,29,Mon Apr 11 02:03:45 +0000 2011
pucv_cl,1.1974922477822e+18,Nicol4spino,11,95,6,Thu Nov 21 12:29:47 +0000 2019
pucv_cl,1284338042.0,nycityb0y,9,79,1,Wed Mar 20 21:36:08 +0000 2013
pucv_cl,1.25053224551073e+18,femme_paola,18,237,18,Wed Apr 15 21:11:51 +0000 2020
pucv_cl,7.58544220357526e+17,JcDenisse,26,48,1,Thu Jul 28 06:06:50 +0000 2016
pucv_cl,9.79490751741596e+17,historiausach,285,2189,608,Thu Mar 29 22:49:28 +0000 2018
pucv_cl,456696498.0,HRLM1970,1132,363,57,Fri Jan 06 15:08:28 +0000 2012
pucv_cl,2751300411.0,Luks_Moreno17,182,59,15,Tue Aug 26 00:29:18 +0000 2014
pucv_cl,1.25771587808864e+18,hpv2villarrica,34,95,10,Tue May 05 16:59:33 +0000 2020
pucv_cl,2457257070.0,LangmeierSchulz,3399,4429,593,Mon Apr 21 23:36:43 +0000 2014
pucv_cl,1.24024365230946e+18,Fernand12652025,628,2882,589,Wed Mar 18 12:07:13 +0000 2020
pucv_cl,726902617.0,Gab_TorresP,525,652,72,Mon Jul 30 21:35:55 +0000 2012
pucv_cl,2446257642.0,Busssanna,2,152,15,Wed Apr 16 00:23:46 +0000 2014
pucv_cl,129263575.0,Marcelo_Edd,281,902,104,Sat Apr 03 18:24:25 +0000 2010
pucv_cl,7.97005157737333e+17,rich_lesser,7,1167,322,Fri Nov 11 09:16:52 +0000 2016
pucv_cl,1.18664193899016e+18,La_ougi,1610,245,81,Tue Oct 22 13:54:31 +0000 2019
pucv_cl,319925960.0,YermanrojoULC,529,546,173,Sun Jun 19 00:34:35 +0000 2011
pucv_cl,2368173785.0,fercorrego,74,790,111,Thu Feb 27 03:25:40 +0000 2014
pucv_cl,1.25710921204128e+18,m_veralucero,0,44,4,Mon May 04 00:46:23 +0000 2020
pucv_cl,1876365361.0,OrientadoresEdu,367,1920,692,Tue Sep 17 17:48:38 +0000 2013
pucv_cl,300582086.0,zuniga_1007,1600,1973,211,Wed May 18 00:48:23 +0000 2011
pucv_cl,2270908992.0,manolillo1507,2219,78,28,Tue Dec 31 22:52:30 +0000 2013
pucv_cl,109121520.0,etienne2905,3306,383,80,Thu Jan 28 01:32:41 +0000 2010
pucv_cl,139291203.0,gimgarrido,3380,2135,542,Sun May 02 04:28:49 +0000 2010
pucv_cl,1.21813899306753e+18,FuturoTarapaca,151,1419,190,Fri Jan 17 11:52:35 +0000 2020
pucv_cl,2321013707.0,ange_romero_a,7,50,4,Mon Feb 03 01:23:56 +0000 2014
pucv_cl,1.25449314602258e+18,CotecitaSaaved2,53,1254,13,Sun Apr 26 19:31:26 +0000 2020
pucv_cl,1.20273469532004e+18,AminChile,14,406,69,Thu Dec 05 23:41:24 +0000 2019
pucv_cl,51926729.0,ngalindo_s,67,675,23,Mon Jun 29 02:29:54 +0000 2009
pucv_cl,1.19935878866448e+18,zet_paz,8,194,12,Tue Nov 26 16:06:49 +0000 2019
pucv_cl,1323059089.0,RodQT,122,799,54,Tue Apr 02 18:41:27 +0000 2013
pucv_cl,1.2512619251215e+18,BioeticaCritica,23,435,45,Fri Apr 17 21:31:14 +0000 2020
pucv_cl,1.0248594343492e+18,NicoleOsiadacz,26,129,95,Thu Aug 02 03:28:24 +0000 2018
pucv_cl,273201243.0,YoyoGosling,14,190,17,Mon Mar 28 01:24:38 +0000 2011
pucv_cl,189757855.0,Mati_AP_,3,179,15,Sun Sep 12 04:04:57 +0000 2010
pucv_cl,1.25517201483234e+18,ElMarioSkeet,7,44,5,Tue Apr 28 16:28:30 +0000 2020
pucv_cl,1.25446210488051e+18,pabloighm,0,124,2,Sun Apr 26 17:27:35 +0000 2020
pucv_cl,1.25159822577525e+18,LtSiniestros,58,437,11,Sat Apr 18 19:47:35 +0000 2020
pucv_cl,3087552635.0,Sashiroco,14,154,5,Wed Mar 11 23:34:42 +0000 2015
pucv_cl,153945875.0,zunigaaa00,8,103,17,Wed Jun 09 23:57:12 +0000 2010
pucv_cl,1.09237987107292e+18,majose_escobar,683,420,1051,Mon Feb 04 11:10:31 +0000 2019
pucv_cl,9.09941286219797e+17,Ethzhel,10,178,5,Tue Sep 19 00:44:43 +0000 2017
pucv_cl,1.2548268389055e+18,Electronica_AOC,9,65,0,Mon Apr 27 17:36:53 +0000 2020
pucv_cl,47486160.0,Veritro,1187,367,166,Tue Jun 16 00:05:46 +0000 2009
pucv_cl,1.16439343578633e+18,AlfaroDev,2654,1845,182,Thu Aug 22 04:26:54 +0000 2019
pucv_cl,1.25474319095291e+18,Juanchongo4,11,38,2,Mon Apr 27 12:04:39 +0000 2020
pucv_cl,1.24945108933573e+18,CarlosS08941911,0,46,1,Sun Apr 12 21:35:41 +0000 2020
pucv_cl,138630123.0,Elizabeth_a_h,344,606,187,Fri Apr 30 03:07:13 +0000 2010
pucv_cl,282114695.0,Bartfuen,564,220,103,Thu Apr 14 15:37:23 +0000 2011
pucv_cl,1.18749334689957e+18,FpMoncho,2,441,8,Thu Oct 24 22:18:18 +0000 2019
pucv_cl,362697067.0,RSanchezCesar,20229,506,497,Fri Aug 26 20:50:42 +0000 2011
pucv_cl,611199126.0,Paulacor34,999,2283,191,Sun Jun 17 20:57:41 +0000 2012
pucv_cl,1.24481950165854e+18,SepulvedaJav1,31,104,5,Tue Mar 31 02:51:40 +0000 2020
pucv_cl,9.12832431874593e+17,Dimarepucv,355,318,334,Wed Sep 27 00:13:06 +0000 2017
pucv_cl,3165302885.0,revistademarina,191,153,249,Mon Apr 13 20:10:36 +0000 2015
pucv_cl,3522286212.0,Symmetry_MDPI,979,433,425,Fri Sep 11 03:21:52 +0000 2015
pucv_cl,7.39052733664252e+17,ogaz_karinaogaz,15,400,17,Sat Jun 04 11:14:37 +0000 2016
pucv_cl,1289854783.0,genesiss_g,41,131,22,Fri Mar 22 22:49:22 +0000 2013
pucv_cl,1.19113650393151e+18,Andre42058930,0,27,1,Sun Nov 03 23:34:48 +0000 2019
pucv_cl,1325685097.0,CaceresCes,1,81,1,Wed Apr 03 23:35:19 +0000 2013
pucv_cl,129305877.0,rjwoods88,307,468,70,Sat Apr 03 21:37:03 +0000 2010
